Financial Year,Age Band,Diagnosis,Count,
2008/09,Oct-14,Back Pain (Non Specific),63,
2008/09,Oct-14,Seizures,51,
2008/09,Oct-14,Psychiatric Other,47,
2008/09,Oct-14,Ear/Nose/Throat Other,46,
2008/09,Oct-14,Headache (Migraine Or Unspec.),42,
2008/09,Oct-14,Facial Trauma (Unspecified),41,
2008/09,Oct-14,Febrile Illness (Unspecified),31,
2008/09,15-19,Limb Injury Other (Unspec.),1161,
2008/09,15-19,Wounds (Unspecified),829,
2008/09,15-19,Abdominal Pain (Unspecified),583,
2008/09,15-19,Fracture +/- Dislocation (Unspecified),528,
2008/09,15-19,Other No Code Suitable,500,
2008/09,15-19,Orthopaedic/Musculoskeletal Other,463,
2008/09,15-19,Hand Injury (Unspecified),409,
2008/09,15-19,Medical Admission Other,388,
2008/09,15-19,Head Injury (Unspecified),291,
2008/09,15-19,Psychiatric Other,225,
2008/09,15-19,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),174,
2008/09,15-19,Superficial injuries,168,
2008/09,15-19,Poisoning Self Deliberate (Unspecified),147,
2008/09,15-19,Back Pain (Non Specific),130,
2008/09,15-19,Facial Trauma (Unspecified),130,
2008/09,15-19,Ear/Nose/Throat Other,121,
2008/09,15-19,Toxicology Other - Not Drug Abuse/Accid Overdose,114,
2008/09,15-19,Asthma,102,
2008/09,15-19,Headache (Migraine Or Unspec.),96,
2008/09,15-19,Chest Injury (Unspecified),79,
2008/09,20-24,Limb Injury Other (Unspec.),1049,
2008/09,20-24,Wounds (Unspecified),971,
2008/09,20-24,Abdominal Pain (Unspecified),664,
2008/09,20-24,Other No Code Suitable,510,
2008/09,20-24,Medical Admission Other,455,
2008/09,20-24,Fracture +/- Dislocation (Unspecified),450,
2008/09,20-24,Orthopaedic/Musculoskeletal Other,422,
2008/09,20-24,Hand Injury (Unspecified),397,
2008/09,20-24,Psychiatric Other,274,
2008/09,20-24,Head Injury (Unspecified),237,
2008/09,20-24,Back Pain (Non Specific),170,
2008/09,20-24,Superficial injuries,159,
2008/09,20-24,Facial Trauma (Unspecified),157,
2008/09,20-24,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),143,
2008/09,20-24,Ear/Nose/Throat Other,117,
2008/09,20-24,Headache (Migraine Or Unspec.),115,
2008/09,20-24,Chest Pain (Not Pleuritic),113,
2008/09,20-24,Toxicology Other - Not Drug Abuse/Accid Overdose,101,
2008/09,20-24,Poisoning Self Deliberate (Unspecified),96,
2008/09,20-24,Dental Other (Not Toothache),95,
2008/09,25-29,Limb Injury Other (Unspec.),621,
2008/09,25-29,Wounds (Unspecified),547,
2008/09,25-29,Abdominal Pain (Unspecified),472,
2008/09,25-29,Medical Admission Other,353,
2008/09,25-29,Other No Code Suitable,315,
2008/09,25-29,Fracture +/- Dislocation (Unspecified),282,
2008/09,25-29,Hand Injury (Unspecified),255,
2008/09,25-29,Orthopaedic/Musculoskeletal Other,249,
2008/09,25-29,Psychiatric Other,214,
2008/09,25-29,Head Injury (Unspecified),146,
2008/09,25-29,Back Pain (Non Specific),118,
2008/09,25-29,Headache (Migraine Or Unspec.),112,
2008/09,25-29,Superficial injuries,100,
2008/09,25-29,Chest Pain (Not Pleuritic),97,
2008/09,25-29,Dental Other (Not Toothache),86,
2008/09,25-29,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),83,
2008/09,25-29,Facial Trauma (Unspecified),74,
2008/09,25-29,Diarrhoea And/Or Vomiting,70,
2008/09,25-29,Poisoning Self Deliberate (Unspecified),69,
2008/09,25-29,Asthma,69,
2008/09,30-34,Limb Injury Other (Unspec.),506,
2008/09,30-34,Wounds (Unspecified),392,
2008/09,30-34,Abdominal Pain (Unspecified),368,
2008/09,30-34,Other No Code Suitable,320,
2008/09,30-34,Medical Admission Other,287,
2008/09,30-34,Orthopaedic/Musculoskeletal Other,251,
2008/09,30-34,Fracture +/- Dislocation (Unspecified),229,
2008/09,30-34,Psychiatric Other,213,
2008/09,30-34,Hand Injury (Unspecified),184,
2008/09,30-34,Back Pain (Non Specific),130,
2008/09,30-34,Chest Pain (Not Pleuritic),114,
2008/09,30-34,Headache (Migraine Or Unspec.),89,
2008/09,30-34,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),81,
2008/09,30-34,Head Injury (Unspecified),78,
2008/09,30-34,Superficial injuries,77,
2008/09,30-34,Toxicology Other - Not Drug Abuse/Accid Overdose,75,
2008/09,30-34,Poisoning Self Deliberate (Unspecified),71,
2008/09,30-34,Seizures,66,
2008/09,30-34,Ear/Nose/Throat Other,61,
2008/09,30-34,Asthma,58,
2008/09,35-39,Limb Injury Other (Unspec.),515,
2008/09,35-39,Abdominal Pain (Unspecified),455,
2008/09,35-39,Wounds (Unspecified),403,
2008/09,35-39,Other No Code Suitable,356,
2008/09,35-39,Medical Admission Other,349,
2008/09,35-39,Orthopaedic/Musculoskeletal Other,247,
2008/09,35-39,Psychiatric Other,227,
2008/09,35-39,Fracture +/- Dislocation (Unspecified),223,
2008/09,35-39,Hand Injury (Unspecified),174,
2008/09,35-39,Chest Pain (Not Pleuritic),169,
2008/09,35-39,Back Pain (Non Specific),155,
2008/09,35-39,Head Injury (Unspecified),101,
2008/09,35-39,Headache (Migraine Or Unspec.),97,
2008/09,35-39,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),96,
2008/09,35-39,Superficial injuries,89,
2008/09,35-39,Asthma,75,
2008/09,35-39,Chest Injury (Unspecified),70,
2008/09,35-39,Cardiology Other - Not Acute Myocardial Infarction,65,
2008/09,35-39,Poisoning Self Deliberate (Unspecified),65,
2008/09,35-39,Toxicology Other - Not Drug Abuse/Accid Overdose,64,
2008/09,40-44,Limb Injury Other (Unspec.),481,
2008/09,40-44,Abdominal Pain (Unspecified),460,
2008/09,40-44,Medical Admission Other,373,
2008/09,40-44,Wounds (Unspecified),350,
2008/09,40-44,Chest Pain (Not Pleuritic),314,
2008/09,40-44,Other No Code Suitable,303,
2008/09,40-44,Orthopaedic/Musculoskeletal Other,232,
2008/09,40-44,Fracture +/- Dislocation (Unspecified),211,
2008/09,40-44,Psychiatric Other,190,
2008/09,40-44,Back Pain (Non Specific),158,
2008/09,40-44,Hand Injury (Unspecified),157,
2008/09,40-44,Headache (Migraine Or Unspec.),96,
2008/09,40-44,Chest Injury (Unspecified),86,
2008/09,40-44,Cardiology Other - Not Acute Myocardial Infarction,82,
2008/09,40-44,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),76,
2008/09,40-44,Head Injury (Unspecified),73,
2008/09,40-44,Poisoning Self Deliberate (Unspecified),63,
2008/09,40-44,Toxicology Other - Not Drug Abuse/Accid Overdose,59,
2008/09,40-44,Respiratory Other,55,
2008/09,40-44,Surgical,50,
2008/09,45-49,Limb Injury Other (Unspec.),457,
2008/09,45-49,Chest Pain (Not Pleuritic),411,
2008/09,45-49,Medical Admission Other,405,
2008/09,45-49,Abdominal Pain (Unspecified),363,
2008/09,45-49,Wounds (Unspecified),346,
2008/09,45-49,Other No Code Suitable,278,
2008/09,45-49,Orthopaedic/Musculoskeletal Other,222,
2008/09,45-49,Fracture +/- Dislocation (Unspecified),205,
2008/09,45-49,Back Pain (Non Specific),178,
2008/09,45-49,Hand Injury (Unspecified),149,
2008/09,45-49,Psychiatric Other,139,
2008/09,45-49,Head Injury (Unspecified),98,
2008/09,45-49,Cardiology Other - Not Acute Myocardial Infarction,96,
2008/09,45-49,Headache (Migraine Or Unspec.),85,
2008/09,45-49,Chest Injury (Unspecified),80,
2008/09,45-49,Superficial injuries,68,
2008/09,45-49,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),66,
2008/09,45-49,Collapse (Unspecified),62,
2008/09,45-49,Poisoning Self Deliberate (Unspecified),61,
2008/09,45-49,Toxicology Other - Not Drug Abuse/Accid Overdose,58,
2008/09,50-54,Chest Pain (Not Pleuritic),450,
2008/09,50-54,Medical Admission Other,407,
2008/09,50-54,Limb Injury Other (Unspec.),396,
2008/09,50-54,Abdominal Pain (Unspecified),339,
2008/09,50-54,Wounds (Unspecified),310,
2008/09,50-54,Other No Code Suitable,247,
2008/09,50-54,Orthopaedic/Musculoskeletal Other,195,
2008/09,50-54,Fracture +/- Dislocation (Unspecified),182,
2008/09,50-54,Back Pain (Non Specific),153,
2008/09,50-54,Hand Injury (Unspecified),140,
2008/09,50-54,Cardiology Other - Not Acute Myocardial Infarction,138,
2008/09,50-54,Psychiatric Other,128,
2008/09,50-54,Respiratory Other,121,
2008/09,50-54,Headache (Migraine Or Unspec.),89,
2008/09,50-54,Head Injury (Unspecified),74,
2008/09,50-54,Chest Injury (Unspecified),74,
2008/09,50-54,Collapse (Unspecified),69,
2008/09,50-54,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),55,
2008/09,50-54,Superficial injuries,52,
2008/09,50-54,Diarrhoea And/Or Vomiting,49,
2008/09,55-59,Chest Pain (Not Pleuritic),518,
2008/09,55-59,Medical Admission Other,437,
2008/09,55-59,Abdominal Pain (Unspecified),342,
2008/09,55-59,Limb Injury Other (Unspec.),285,
2008/09,55-59,Wounds (Unspecified),213,
2008/09,55-59,Other No Code Suitable,197,
2008/09,55-59,Cardiology Other - Not Acute Myocardial Infarction,172,
2008/09,55-59,Orthopaedic/Musculoskeletal Other,137,
2008/09,55-59,Fracture +/- Dislocation (Unspecified),136,
2008/09,55-59,Back Pain (Non Specific),110,
2008/09,55-59,Respiratory Other,94,
2008/09,55-59,Hand Injury (Unspecified),83,
2008/09,55-59,Psychiatric Other,80,
2008/09,55-59,Collapse (Unspecified),68,
2008/09,55-59,Oncology Other,67,
2008/09,55-59,Headache (Migraine Or Unspec.),58,
2008/09,55-59,Head Injury (Unspecified),51,
2008/09,55-59,Chest Injury (Unspecified),49,
2008/09,55-59,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),48,
2008/09,55-59,Diarrhoea And/Or Vomiting,44,
2008/09,5-Sep,Paediatric Other,541,
2008/09,5-Sep,Limb Injury Other (Unspec.),460,
2008/09,5-Sep,Fracture +/- Dislocation (Unspecified),335,
2008/09,5-Sep,Wounds (Unspecified),287,
2008/09,5-Sep,Orthopaedic/Musculoskeletal Other,224,
2008/09,5-Sep,Abdominal Pain (Unspecified),200,
2008/09,5-Sep,Asthma,128,
2008/09,5-Sep,Hand Injury (Unspecified),117,
2008/09,5-Sep,Head Injury (Unspecified),101,
2008/09,5-Sep,Other No Code Suitable,83,
2008/09,5-Sep,Medical Admission Other,70,
2008/09,5-Sep,Febrile Illness (Unspecified),64,
2008/09,5-Sep,Seizures,54,
2008/09,5-Sep,Ear/Nose/Throat Other,51,
2008/09,5-Sep,Foreign Body (Unspecified),43,
2008/09,5-Sep,Superficial injuries,43,
2008/09,5-Sep,Diarrhoea And/Or Vomiting,35,
2008/09,5-Sep,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),29,
2008/09,5-Sep,Paediatric Asthma,29,
2008/09,5-Sep,Dental Other (Not Toothache),24,
2008/09,60-64,Medical Admission Other,509,
2008/09,60-64,Chest Pain (Not Pleuritic),477,
2008/09,60-64,Abdominal Pain (Unspecified),299,
2008/09,60-64,Limb Injury Other (Unspec.),255,
2008/09,60-64,Wounds (Unspecified),187,
2008/09,60-64,Cardiology Other - Not Acute Myocardial Infarction,177,
2008/09,60-64,Orthopaedic/Musculoskeletal Other,156,
2008/09,60-64,Other No Code Suitable,156,
2008/09,60-64,Fracture +/- Dislocation (Unspecified),145,
2008/09,60-64,Respiratory Other,142,
2008/09,60-64,Back Pain (Non Specific),88,
2008/09,60-64,Collapse (Unspecified),84,
2008/09,60-64,Oncology Other,70,
2008/09,60-64,Head Injury (Unspecified),64,
2008/09,60-64,Hand Injury (Unspecified),63,
2008/09,60-64,Copd/Coad,57,
2008/09,60-64,Cellulitis,52,
2008/09,60-64,Diarrhoea And/Or Vomiting,51,
2008/09,60-64,Headache (Migraine Or Unspec.),51,
2008/09,60-64,Cerebrovascular Acc. (Stroke),49,
2008/09,65-69,Medical Admission Other,649,
2008/09,65-69,Chest Pain (Not Pleuritic),467,
2008/09,65-69,Abdominal Pain (Unspecified),234,
2008/09,65-69,Limb Injury Other (Unspec.),215,
2008/09,65-69,Cardiology Other - Not Acute Myocardial Infarction,181,
2008/09,65-69,Respiratory Other,162,
2008/09,65-69,Other No Code Suitable,155,
2008/09,65-69,Orthopaedic/Musculoskeletal Other,134,
2008/09,65-69,Wounds (Unspecified),134,
2008/09,65-69,Fracture +/- Dislocation (Unspecified),126,
2008/09,65-69,Collapse (Unspecified),96,
2008/09,65-69,Copd/Coad,81,
2008/09,65-69,Oncology Other,77,
2008/09,65-69,Cellulitis,74,
2008/09,65-69,Back Pain (Non Specific),64,
2008/09,65-69,Diarrhoea And/Or Vomiting,44,
2008/09,65-69,Head Injury (Unspecified),43,
2008/09,65-69,Hand Injury (Unspecified),41,
2008/09,65-69,Surgical,38,
2008/09,65-69,Cerebrovascular Acc. (Stroke),37,
2008/09,70-74,Medical Admission Other,654,
2008/09,70-74,Chest Pain (Not Pleuritic),411,
2008/09,70-74,Abdominal Pain (Unspecified),237,
2008/09,70-74,Cardiology Other - Not Acute Myocardial Infarction,199,
2008/09,70-74,Limb Injury Other (Unspec.),174,
2008/09,70-74,Respiratory Other,172,
2008/09,70-74,Other No Code Suitable,143,
2008/09,70-74,Collapse (Unspecified),140,
2008/09,70-74,Wounds (Unspecified),132,
2008/09,70-74,Fracture +/- Dislocation (Unspecified),125,
2008/09,70-74,Orthopaedic/Musculoskeletal Other,105,
2008/09,70-74,Copd/Coad,93,
2008/09,70-74,Back Pain (Non Specific),70,
2008/09,70-74,Cerebrovascular Acc. (Stroke),64,
2008/09,70-74,Oncology Other,57,
2008/09,70-74,Epistaxis,48,
2008/09,70-74,Diarrhoea And/Or Vomiting,45,
2008/09,70-74,Genitourinary Other,41,
2008/09,70-74,Renal Other,39,
2008/09,70-74,Head Injury (Unspecified),38,
2008/09,75-79,Medical Admission Other,820,
2008/09,75-79,Chest Pain (Not Pleuritic),521,
2008/09,75-79,Abdominal Pain (Unspecified),247,
2008/09,75-79,Cardiology Other - Not Acute Myocardial Infarction,229,
2008/09,75-79,Respiratory Other,212,
2008/09,75-79,Limb Injury Other (Unspec.),205,
2008/09,75-79,Collapse (Unspecified),193,
2008/09,75-79,Other No Code Suitable,175,
2008/09,75-79,Wounds (Unspecified),160,
2008/09,75-79,Fracture +/- Dislocation (Unspecified),153,
2008/09,75-79,Orthopaedic/Musculoskeletal Other,144,
2008/09,75-79,Back Pain (Non Specific),92,
2008/09,75-79,Cerebrovascular Acc. (Stroke),71,
2008/09,75-79,Diarrhoea And/Or Vomiting,63,
2008/09,75-79,Copd/Coad,62,
2008/09,75-79,Oncology Other,56,
2008/09,75-79,Gi Bleed (Haematemisis/Pr Bleed),51,
2008/09,75-79,Surgical,46,
2008/09,75-79,Head Injury (Unspecified),44,
2008/09,75-79,Headache (Migraine Or Unspec.),43,
2008/09,80-84,Medical Admission Other,1018,
2008/09,80-84,Chest Pain (Not Pleuritic),459,
2008/09,80-84,Limb Injury Other (Unspec.),259,
2008/09,80-84,Fracture +/- Dislocation (Unspecified),258,
2008/09,80-84,Abdominal Pain (Unspecified),240,
2008/09,80-84,Collapse (Unspecified),227,
2008/09,80-84,Wounds (Unspecified),200,
2008/09,80-84,Respiratory Other,194,
2008/09,80-84,Cardiology Other - Not Acute Myocardial Infarction,189,
2008/09,80-84,Orthopaedic/Musculoskeletal Other,171,
2008/09,80-84,Other No Code Suitable,162,
2008/09,80-84,Cerebrovascular Acc. (Stroke),113,
2008/09,80-84,Back Pain (Non Specific),96,
2008/09,80-84,Diarrhoea And/Or Vomiting,80,
2008/09,80-84,Head Injury (Unspecified),65,
2008/09,80-84,Copd/Coad,61,
2008/09,80-84,Superficial injuries,51,
2008/09,80-84,Gi Bleed (Haematemisis/Pr Bleed),47,
2008/09,80-84,Genitourinary Other,45,
2008/09,80-84,Epistaxis,45,
2008/09,85-89,Medical Admission Other,825,
2008/09,85-89,Chest Pain (Not Pleuritic),258,
2008/09,85-89,Fracture +/- Dislocation (Unspecified),229,
2008/09,85-89,Limb Injury Other (Unspec.),218,
2008/09,85-89,Wounds (Unspecified),189,
2008/09,85-89,Collapse (Unspecified),181,
2008/09,85-89,Abdominal Pain (Unspecified),155,
2008/09,85-89,Respiratory Other,135,
2008/09,85-89,Orthopaedic/Musculoskeletal Other,121,
2008/09,85-89,Other No Code Suitable,95,
2008/09,85-89,Cardiology Other - Not Acute Myocardial Infarction,84,
2008/09,85-89,Cerebrovascular Acc. (Stroke),84,
2008/09,85-89,Back Pain (Non Specific),64,
2008/09,85-89,Superficial injuries,53,
2008/09,85-89,Head Injury (Unspecified),42,
2008/09,85-89,Epistaxis,41,
2008/09,85-89,Diarrhoea And/Or Vomiting,39,
2008/09,85-89,Cellulitis,34,
2008/09,85-89,Urinary Retention,33,
2008/09,85-89,Copd/Coad,29,
2008/09,90-94,Medical Admission Other,365,
2008/09,90-94,Fracture +/- Dislocation (Unspecified),130,
2008/09,90-94,Wounds (Unspecified),100,
2008/09,90-94,Limb Injury Other (Unspec.),87,
2008/09,90-94,Chest Pain (Not Pleuritic),80,
2008/09,90-94,Collapse (Unspecified),71,
2008/09,90-94,Abdominal Pain (Unspecified),54,
2008/09,90-94,Orthopaedic/Musculoskeletal Other,52,
2008/09,90-94,Respiratory Other,46,
2008/09,90-94,Other No Code Suitable,36,
2008/09,90-94,Cerebrovascular Acc. (Stroke),30,
2008/09,90-94,Back Pain (Non Specific),29,
2008/09,90-94,Head Injury (Unspecified),27,
2008/09,90-94,Superficial injuries,26,
2008/09,90-94,Epistaxis,17,
2008/09,90-94,Cellulitis,15,
2008/09,90-94,Urinay Tract Infection/Pyelonephritis,13,
2008/09,90-94,Febrile Illness (Unspecified),13,
2008/09,90-94,Gi Bleed (Haematemisis/Pr Bleed),13,
2008/09,90-94,Cardiology Other - Not Acute Myocardial Infarction,13,
2008/09,95-99,Medical Admission Other,64,
2008/09,95-99,Fracture +/- Dislocation (Unspecified),34,
2008/09,95-99,Limb Injury Other (Unspec.),24,
2008/09,95-99,Wounds (Unspecified),23,
2008/09,95-99,Collapse (Unspecified),13,
2008/09,95-99,Other No Code Suitable,13,
2008/09,95-99,Orthopaedic/Musculoskeletal Other,11,
2008/09,95-99,Head Injury (Unspecified),9,
2008/09,95-99,Superficial injuries,8,
2008/09,95-99,Abdominal Pain (Unspecified),8,
2008/09,95-99,Chest Pain (Not Pleuritic),6,
2008/09,95-99,Cardiology Other - Not Acute Myocardial Infarction,6,
2008/09,95-99,Respiratory Other,6,
2008/09,95-99,Back Pain (Non Specific),5,
2008/09,95-99,Pneumonia That Is X-Ray Proven,4,
2008/09,95-99,Surgical,4,
2008/09,95-99,Urinay Tract Infection/Pyelonephritis,3,
2008/09,95-99,Epistaxis,3,
2008/09,95-99,Urinary Retention,3,
2008/09,95-99,Cerebrovascular Acc. (Stroke),3,
2009/10,0-4,Paediatric Other,2716,
2009/10,0-4,Wounds (Unspecified),570,
2009/10,0-4,Febrile Illness (Unspecified),568,
2009/10,0-4,Other No Code Suitable,445,
2009/10,0-4,Limb Injury Other (Unspec.),355,
2009/10,0-4,Medical Admission Other,344,
2009/10,0-4,Respiratory Other,254,
2009/10,0-4,Diarrhoea And/Or Vomiting,242,
2009/10,0-4,Asthma,240,
2009/10,0-4,Head Injury (Unspecified),202,
2009/10,0-4,Paed Acute Resp Illness-Not Asthma/Croup/Pneumonia,196,
2009/10,0-4,Acute Resp Illness - Not Asthma/Copd/Pneumonia,192,
2009/10,0-4,Fracture +/- Dislocation (Unspecified),171,
2009/10,0-4,Orthopaedic/Musculoskeletal Other,140,
2009/10,0-4,Rash (Unspecified),136,
2009/10,0-4,Paediatric Asthma,124,
2009/10,0-4,Seizures,122,
2009/10,0-4,Abdominal Pain (Unspecified),113,
2009/10,0-4,Hand Injury (Unspecified),105,
2009/10,0-4,Burns,105,
2009/10,100+,Limb Injury Other (Unspec.),6,
2009/10,100+,Wounds (Unspecified),6,
2009/10,100+,Medical Admission Other,5,
2009/10,100+,Orthopaedic/Musculoskeletal Other,4,
2009/10,100+,Fracture +/- Dislocation (Unspecified),4,
2009/10,100+,Back Pain (Non Specific),3,
2009/10,100+,Other No Code Suitable,3,
2009/10,100+,Head Injury (Unspecified),2,
2009/10,100+,Superficial injuries,2,
2009/10,100+,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),2,
2009/10,100+,Respiratory Other,1,
2009/10,100+,Upper Limb Elbow and Forearm,1,
2009/10,100+,Pneumonia That Is X-Ray Proven,1,
2009/10,100+,Collapse (Unspecified),1,
2009/10,100+,Cellulitis,1,
2009/10,100+,Septicaemia,1,
2009/10,100+,Cerebrovascular Acc. (Stroke),1,
2009/10,100+,Abdominal Aortic Aneurism,1,
2009/10,100+,Gi Bleed (Haematemisis/Pr Bleed),1,
2009/10,Oct-14,Limb Injury Other (Unspec.),959,
2009/10,Oct-14,Fracture +/- Dislocation (Unspecified),542,
2009/10,Oct-14,Orthopaedic/Musculoskeletal Other,440,
2009/10,Oct-14,Wounds (Unspecified),341,
2009/10,Oct-14,Hand Injury (Unspecified),314,
2009/10,Oct-14,Abdominal Pain (Unspecified),294,
2009/10,Oct-14,Paediatric Other,292,
2009/10,Oct-14,Other No Code Suitable,157,
2009/10,Oct-14,Head Injury (Unspecified),153,
2009/10,Oct-14,Superficial injuries,135,
2009/10,Oct-14,Medical Admission Other,121,
2009/10,Oct-14,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),87,
2009/10,Oct-14,Asthma,79,
2009/10,Oct-14,Psychiatric Other,48,
2009/10,Oct-14,Ear/Nose/Throat Other,41,
2009/10,Oct-14,Back Pain (Non Specific),40,
2009/10,Oct-14,Seizures,37,
2009/10,Oct-14,Facial Trauma (Unspecified),33,
2009/10,Oct-14,Toxicology Other - Not Drug Abuse/Accid Overdose,32,
2009/10,Oct-14,Poisoning Self Deliberate (Unspecified),29,
2009/10,15-19,Limb Injury Other (Unspec.),1166,
2009/10,15-19,Wounds (Unspecified),877,
2009/10,15-19,Abdominal Pain (Unspecified),645,
2009/10,15-19,Other No Code Suitable,618,
2009/10,15-19,Medical Admission Other,511,
2009/10,15-19,Fracture +/- Dislocation (Unspecified),500,
2009/10,15-19,Orthopaedic/Musculoskeletal Other,477,
2009/10,15-19,Hand Injury (Unspecified),461,
2009/10,15-19,Head Injury (Unspecified),356,
2009/10,15-19,Psychiatric Other,291,
2009/10,15-19,Superficial injuries,209,
2009/10,15-19,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),176,
2009/10,15-19,Poisoning Self Deliberate (Unspecified),173,
2009/10,15-19,Ear/Nose/Throat Other,162,
2009/10,15-19,Toxicology Other - Not Drug Abuse/Accid Overdose,161,
2009/10,15-19,Facial Trauma (Unspecified),123,
2009/10,15-19,Back Pain (Non Specific),107,
2009/10,15-19,Suspected Alcohol/Recreational Drug Involvement,98,
2009/10,15-19,Asthma,96,
2009/10,15-19,Headache (Migraine Or Unspec.),95,
2009/10,20-24,Limb Injury Other (Unspec.),1095,
2009/10,20-24,Wounds (Unspecified),931,
2009/10,20-24,Abdominal Pain (Unspecified),747,
2009/10,20-24,Medical Admission Other,581,
2009/10,20-24,Other No Code Suitable,558,
2009/10,20-24,Fracture +/- Dislocation (Unspecified),480,
2009/10,20-24,Orthopaedic/Musculoskeletal Other,428,
2009/10,20-24,Hand Injury (Unspecified),373,
2009/10,20-24,Psychiatric Other,357,
2009/10,20-24,Head Injury (Unspecified),276,
2009/10,20-24,Superficial injuries,199,
2009/10,20-24,Back Pain (Non Specific),177,
2009/10,20-24,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),174,
2009/10,20-24,Facial Trauma (Unspecified),150,
2009/10,20-24,Ear/Nose/Throat Other,134,
2009/10,20-24,Headache (Migraine Or Unspec.),134,
2009/10,20-24,Chest Pain (Not Pleuritic),130,
2009/10,20-24,Poisoning Self Deliberate (Unspecified),117,
2009/10,20-24,Chest Injury (Unspecified),113,
2009/10,20-24,Toxicology Other - Not Drug Abuse/Accid Overdose,111,
2009/10,25-29,Limb Injury Other (Unspec.),655,
2009/10,25-29,Wounds (Unspecified),590,
2009/10,25-29,Abdominal Pain (Unspecified),467,
2009/10,25-29,Medical Admission Other,413,
2009/10,25-29,Other No Code Suitable,404,
2009/10,25-29,Fracture +/- Dislocation (Unspecified),284,
2009/10,25-29,Psychiatric Other,283,
2009/10,25-29,Orthopaedic/Musculoskeletal Other,271,
2009/10,25-29,Hand Injury (Unspecified),253,
2009/10,25-29,Head Injury (Unspecified),142,
2009/10,25-29,Back Pain (Non Specific),134,
2009/10,25-29,Superficial injuries,109,
2009/10,25-29,Toxicology Other - Not Drug Abuse/Accid Overdose,107,
2009/10,25-29,Headache (Migraine Or Unspec.),104,
2009/10,25-29,Chest Pain (Not Pleuritic),102,
2009/10,25-29,Poisoning Self Deliberate (Unspecified),100,
2009/10,25-29,Asthma,91,
2009/10,25-29,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),89,
2009/10,25-29,Dental Other (Not Toothache),81,
2009/10,25-29,Facial Trauma (Unspecified),75,
2009/10,30-34,Limb Injury Other (Unspec.),539,
2009/10,30-34,Medical Admission Other,388,
2009/10,30-34,Abdominal Pain (Unspecified),385,
